","Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits
"497","1","3",6,"2","3",2108,1,3,2,"3",1,2,"1",29,2,"1",1,1,1,1,1                                                                                                                                                                                                                                                                                                                 
"756","0","1",15,"1","4",950,1,4,4,"2",1,3,"3",33,2,"1",2,1,2,1,1                                                                                                                                                                                                                                                                                                                 
"580","0","1",42,"2","3",7174,4,3,4,"1",1,3,"3",30,2,"2",1,1,1,2,1                                                                                                                                                                                                                                                                                                                
"833","0","3",36,"3","4",7980,4,1,4,"2",1,4,"3",27,2,"1",2,1,1,2,1                                                                                                                                                                                                                                                                                                                
"602","1","3",24,"3","2",2028,1,3,2,"2",1,2,"2",30,2,"2",2,1,1,1,1                                                                                                                                                                                                                                                                                                                
"734","1","1",15,"2","4",2511,1,1,1,"1",1,4,"3",23,2,"1",1,1,1,1,1                                                                                                                                                                                                                                                                                                                
"303","1","3",24,"2","2",3749,1,1,2,"1",1,4,"3",26,2,"2",1,1,1,1,1                                                                                                                                                                                                                                                                                                                
"923","0","1",24,"2","4",1442,1,3,4,"1",1,4,"3",23,2,"1",2,1,1,1,1                                                                                                                                                                                                                                                                                                                
"677","1","1",9,"3","3",1138,1,2,4,"2",1,4,"1",25,2,"2",2,1,1,1,1                                                                                                                                                                                                                                                                                                                 
"124","1","3",15,"3","3",1459,1,2,4,"1",1,2,"3",43,2,"2",1,1,1,1,1                                                                                                                                                                                                                                                                                                                
"942","0","2",12,"2","4",888,1,4,4,"2",1,4,"3",41,1,"2",1,1,2,1,1                                                                                                                                                                                                                                                                                                                 
"8","1","1",6,"3","4",1361,1,1,2,"2",1,4,"1",40,2,"2",1,1,2,1,2                                                                                                                                                                                                                                                                                                                   
"764","0","2",60,"2","3",6288,1,2,4,"2",1,4,"4",42,2,"3",1,1,1,1,1                                                                                                                                                                                                                                                                                                                
"60","1","3",36,"2","4",3079,4,2,4,"2",1,4,"1",36,2,"2",1,1,1,1,1                                                                                                                                                                                                                                                                                                                 
"462","1","2",18,"3","2",7374,1,1,4,"2",1,4,"2",40,1,"2",2,1,1,2,1                                                                                                                                                                                                                                                                                                                
"674","1","2",8,"2","3",760,1,3,4,"1",2,2,"1",44,2,"2",1,1,1,1,1                                                                                                                                                                                                                                                                                                                  
"498","1","3",24,"3","1",4042,4,3,3,"2",1,4,"2",43,2,"2",2,1,1,2,1                                                                                                                                                                                                                                                                                                                
"91","1","2",12,"3","4",1995,2,1,4,"2",1,1,"3",27,2,"2",1,1,1,1,1                                                                                                                                                                                                                                                                                                                 
"447","1","3",6,"3","3",700,4,4,4,"2",1,4,"4",36,2,"3",2,1,1,1,1                                                                                                                                                                                                                                                                                                                  
"195","1","3",12,"2","3",1262,1,2,3,"2",1,2,"3",25,2,"2",1,1,1,1,1                                                                                                                                                                                                                                                                                                                
"769","0","2",9,"1","4",1437,2,3,2,"2",1,3,"4",29,2,"2",1,1,1,1,1                                                                                                                                                                                                                                                                                                                 
"17","1","1",11,"3","4",3939,1,2,1,"2",1,2,"1",40,2,"2",2,1,2,1,1                                                                                                                                                                                                                                                                                                                 
"469","1","2",36,"2","3",2323,1,3,4,"2",1,4,"3",24,2,"1",1,1,1,1,1                                                                                                                                                                                                                                                                                                                
"139","1","2",6,"3","4",932,4,3,1,"1",1,3,"2",39,2,"2",2,1,1,1,1                                                                                                                                                                                                                                                                                                                  
